,df_1,df_2,df_3,df_4
61,,1.1781413555145264,1.1682512760162354,1.5299367904663086
62,,1.3534762859344482,1.2573716640472412,
63,,1.158616304397583,1.1022844314575195,
64,,1.1981844902038574,1.198925256729126,
65,,1.253955364227295,1.24104905128479,
66,,1.268911838531494,1.6936070919036863,
67,,1.1487348079681396,1.299140453338623,
68,,1.1704015731811523,1.1867268085479736,
69,,1.2441282272338867,1.0652730464935305,
70,,1.4003825187683103,1.177237033843994,
71,,1.8055663108825684,1.2068028450012207,
72,,1.4437334537506104,1.0974936485290527,
73,,1.5111639499664309,1.003854274749756,
74,,1.5033469200134275,1.237647294998169,
75,,1.729413986206055,1.316296100616455,
76,,1.5487020015716553,1.085369348526001,
77,,1.4612817764282229,1.1237235069274902,
78,,1.466937780380249,1.3958137035369873,
79,,1.2101733684539795,0.9865942001342772,
80,,1.1995174884796145,0.9054076671600342,
81,,1.2879846096038818,1.0170555114746094,
82,,1.3154613971710205,1.2406377792358398,
83,,1.1606760025024414,1.2077741622924805,
84,,1.2713088989257812,1.17645263671875,
85,,1.0212421417236328,1.1447927951812744,
86,,1.220651626586914,1.030411958694458,
87,,1.1932103633880615,1.1891469955444336,
88,,1.2356069087982178,1.127882719039917,
89,,1.1313776969909668,1.1622402667999268,
90,,1.2065637111663818,1.6775946617126465,
91,,1.336601972579956,1.4886281490325928,
92,,1.0123236179351809,1.2947607040405271,
93,,2.11545991897583,1.3020453453063965,
94,,1.3203670978546145,1.0652649402618408,
95,,1.242903232574463,1.0761940479278564,
96,,1.112346887588501,1.049337387084961,
97,,1.0793371200561523,1.2626588344573977,
98,,1.2671597003936768,1.1581802368164062,
99,,0.8585429191589355,1.2877473831176758,
100,,1.2728271484375,1.224947452545166,
101,,1.096996545791626,1.2216875553131104,
102,,1.4011330604553225,1.081878900527954,
103,,1.1397221088409424,1.7225306034088137,
104,,1.238664627075195,1.3973205089569092,
105,,1.1915833950042725,1.2507469654083252,
106,,1.287663221359253,1.2133581638336182,
107,,1.2538232803344729,1.1877753734588623,
108,,1.270019292831421,1.350356101989746,
109,,1.048466682434082,1.0581386089324951,
110,,1.347541093826294,1.3859200477600098,
111,,1.1606919765472412,1.2247402667999268,
112,,1.2241408824920654,1.2563390731811523,
113,,1.2103891372680664,1.1738958358764648,
114,,1.1909124851226809,1.2864909172058103,
115,,1.0800676345825195,1.1411819458007812,
116,,1.7415103912353516,1.1128740310668943,
117,,1.018913745880127,1.1413357257843018,
118,,1.2368319034576416,1.3234503269195557,
119,,1.1868276596069336,1.3072617053985596,
120,,1.1279773712158203,1.0982677936553955,
121,,1.3152568340301514,1.250678300857544,
122,,1.22357177734375,1.1570446491241455,
123,,1.3313050270080566,1.0345821380615234,
124,,1.3668689727783203,1.3140952587127686,
125,,1.2260842323303225,1.191798210144043,
126,,1.4585819244384766,1.082329511642456,
127,,1.4157142639160156,1.207974910736084,
128,,1.661827564239502,1.1169319152832031,
129,,1.3325836658477783,1.404416561126709,
130,,1.270592212677002,1.1597354412078855,
131,,1.866240739822388,1.205063819885254,
132,,1.4588329792022705,1.4581458568572998,
133,,1.3919167518615725,1.3019773960113523,
134,,1.2556602954864502,1.0336503982543943,
135,,1.473031520843506,1.0783376693725586,
136,,1.2387332916259766,1.097656011581421,
137,,1.412377119064331,1.0673387050628662,
138,,1.260704755783081,1.1464412212371826,
139,,1.5353598594665527,1.0859153270721436,
140,,1.3190767765045166,1.1936805248260498,
141,,2.005141019821167,1.07812237739563,
142,,1.2547626495361328,1.035527229309082,
143,,1.4613862037658691,1.0200018882751465,
144,,1.1805427074432373,1.1539151668548584,
145,,1.3031258583068848,1.4134514331817627,
146,,1.1024384498596191,1.36155366897583,
147,,1.4588239192962646,1.4107439517974854,
148,,1.4763264656066897,1.3316352367401123,
149,,1.2848646640777588,1.250200271606445,
150,,1.5052762031555176,1.3787360191345217,
151,,1.313188552856445,1.9296133518219,
152,,1.4569430351257324,1.598745822906494,
153,,1.5846095085144043,1.3786613941192627,
154,,1.3872294425964355,1.2380211353302002,
155,,1.7768967151641846,1.411963701248169,
156,,1.3018200397491455,1.5523414611816406,
157,,1.3025565147399902,1.45833420753479,
158,,1.6600069999694824,1.474513292312622,
159,,1.8317947387695312,1.4256672859191897,
160,,1.4596788883209229,0.8757507801055908,
161,,1.3332207202911377,1.4103600978851318,
162,,1.2072088718414309,1.819140672683716,
163,,1.2697901725769043,1.5042104721069336,
164,,1.2349457740783691,1.361081838607788,
165,,1.569122314453125,1.6308791637420654,
166,,1.318140745162964,1.3953278064727783,
167,,1.284512996673584,1.9630460739135744,
168,,1.5067696571350098,1.2722053527832031,
169,,1.2190163135528564,1.2854745388031006,
170,,1.347224473953247,1.582547664642334,
171,,1.5987422466278076,1.3941991329193115,
172,,1.3769607543945312,1.4443650245666504,
173,,1.0659582614898682,1.7874069213867188,
174,,2.038208246231079,1.1901628971099854,
175,,1.959475994110108,1.5666489601135254,
176,,1.444441556930542,1.417271375656128,
177,,1.46510910987854,1.7740931510925293,
178,,1.5682353973388672,1.6286988258361816,
179,,1.536241054534912,1.927528619766236,
180,,2.0019454956054688,2.165306568145752,
181,,1.4892053604125977,1.890043258666992,
182,,1.521233081817627,1.7853736877441406,
183,,1.2985663414001465,1.850524425506592,
184,,1.678685188293457,1.575881004333496,
185,,2.044456958770752,1.692657709121704,
186,,1.5034492015838623,1.6454944610595703,
187,,1.562941312789917,1.675276279449463,
188,,1.4367058277130127,1.9608328342437744,
189,,1.5517191886901855,1.3945074081420898,
190,,1.9906432628631592,1.2669382095336914,
191,,1.5100018978118896,2.116339921951294,
192,,1.5191090106964111,1.391305685043335,
193,,1.7096738815307615,2.100249767303467,
194,,1.471888303756714,2.024184226989746,
195,,1.6911306381225586,1.6794486045837402,
196,,1.6941039562225342,1.6221022605895996,
197,,1.6162776947021484,1.3647727966308594,
198,,1.5359296798706057,1.9129729270935056,
199,,1.4573907852172852,1.6744499206542969,
200,,1.381831407546997,1.344435691833496,
201,,1.4715709686279297,1.2051889896392822,
202,,1.5204458236694336,1.755404710769653,
203,,1.5993318557739258,1.7782409191131592,
204,,1.770906925201416,1.5210328102111816,
205,,2.052443504333496,1.7849581241607666,
206,,1.788618087768555,1.347439527511597,
207,,1.4455945491790771,1.5132622718811035,
208,,1.6597251892089844,1.5833556652069092,
209,,1.943495750427246,1.442267894744873,
210,,1.8649749755859373,1.966548204421997,
211,,1.9788753986358645,1.502683162689209,
212,,1.4310612678527832,1.6942856311798096,
213,,1.4722721576690674,1.834527969360352,
