,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization,day,time,button,timeFromStart,timeFromDisplay,num,timeFromDisplay_std
31,13200.0,13483.0,2.734974545571175,43.0,pictures\transformed\roomDark_figureBright\I.JPG,brightness,7.097850608307176,contrast,1.060090080302446,gamma,0.760193212405088,1.0,44_I_brightness7.098_contrast1.06_gamma0.76.jpg,44.0,I,1.06,0.76,0.0,7.098,0.0,2023-11-06,11:44:08.321407,f,112.1776020526886,1.8892993927001955,112,1.928162205897119
32,14100.0,14319.0,3.100405814280172,46.0,pictures\transformed\roomDark_figureBright\0.JPG,brightness,2.449425791156007,gamma,0.957549088743075,sharpness,0.7433914208153213,0.0,47_0_brightness2.449_gamma0.958_sharpness0.743.jpg,47.0,0,0.0,0.958,0.743,2.449,0.0,2023-11-06,11:44:15.217036,t,119.0732307434082,1.2839655876159668,112,-0.7327464764208401
33,300.0,262.0,2.425064317729228,0.0,pictures\transformed\roomDark_figureBright\T.JPG,brightness,24.22709501986819,gamma,0.7067080477443973,sharpness,0.7948563861058943,1.0,1_T_brightness24.227_gamma0.707_sharpness0.795.jpg,1.0,T,0.0,0.707,0.795,24.227,0.0,2023-11-06,11:45:10.301158,f,1.8198606967926023,1.642977237701416,112,0.8453864623677755
34,900.0,1110.0,1.932803082982461,2.0,pictures\transformed\roomDark_figureBright\P.JPG,contrast,0.997429881691842,gamma,1.000814198022743,sharpness,0.0171373421725455,2.0,3_P_contrast0.997_gamma1.001_sharpness0.017.jpg,3.0,P,0.997,1.001,0.017,0.0,0.0,2023-11-06,11:45:17.470729,f,8.989431381225586,1.3008792400360107,112,-0.658397936497581
35,3900.0,4112.0,2.1771224263502487,12.0,pictures\transformed\roomDark_figureBright\S.JPG,gamma,0.5446971317023872,sharpness,0.8043604328654743,equalization,18.33160601874445,2.0,13_S_gamma0.545_sharpness0.804_equalization18.332.jpg,13.0,S,0.0,0.545,0.804,0.0,18.332,2023-11-06,11:45:42.587361,f,34.10606360435486,1.3357164859771729,112,-0.5052613870197507
36,4200.0,4441.0,2.2290733594567174,13.0,pictures\transformed\roomDark_figureBright\P.JPG,contrast,0.8870613226875059,gamma,0.8091693815092774,equalization,24.71048962628845,2.0,14_P_contrast0.887_gamma0.809_equalization24.71.jpg,14.0,P,0.887,0.809,0.0,0.0,24.71,2023-11-06,11:45:45.167305,f,36.68600749969482,1.367229461669922,112,-0.3667375677282714
37,5700.0,5936.0,3.113538311202189,18.0,pictures\transformed\roomDark_figureBright\2.JPG,brightness,11.00004757207633,gamma,0.9964072454477892,sharpness,0.917448320423288,2.0,19_2_brightness11.0_gamma0.996_sharpness0.917.jpg,19.0,2,0.0,0.996,0.917,11.0,0.0,2023-11-06,11:45:57.524438,f,49.04314064979553,1.221642255783081,112,-1.006705560470398
38,7200.0,7421.0,2.663227555214721,23.0,pictures\transformed\roomDark_figureBright\I.JPG,contrast,0.9335731092022134,sharpness,0.1804897715796089,equalization,10.17409796748955,2.0,24_I_contrast0.934_sharpness0.18_equalization10.174.jpg,24.0,I,0.934,0.0,0.18,0.0,10.174,2023-11-06,11:46:09.847040,f,61.35032081604004,1.062239646911621,112,-1.7074028986459568
39,7800.0,8034.0,2.533073072104816,25.0,pictures\transformed\roomDark_figureBright\T.JPG,contrast,0.8878015993912968,sharpness,0.1809271183823767,equalization,22.21890392234508,2.0,26_T_contrast0.888_sharpness0.181_equalization22.219.jpg,26.0,T,0.888,0.0,0.181,0.0,22.219,2023-11-06,11:46:15.017860,f,66.53656315803528,1.2822151184082031,112,-0.7404411379017407
40,8100.0,8359.0,3.4716600502757387,26.0,pictures\transformed\roomDark_figureBright\I.JPG,contrast,1.016348138827617,gamma,0.6193733656640441,sharpness,0.1110946722616578,2.0,27_I_contrast1.016_gamma0.619_sharpness0.111.jpg,27.0,I,1.016,0.619,0.111,0.0,0.0,2023-11-06,11:46:17.748763,f,69.25176644325256,1.4582934379577637,112,0.03355880282879334
41,11400.0,11644.0,3.084136261019684,37.0,pictures\transformed\roomDark_figureBright\3.JPG,contrast,1.119254366670617,gamma,0.8596168361648535,sharpness,0.3195026677120175,2.0,38_3_contrast1.119_gamma0.86_sharpness0.32.jpg,38.0,3,1.119,0.86,0.32,0.0,0.0,2023-11-06,11:46:45.001461,f,96.50964498519896,1.2280683517456057,112,-0.9784579152926917
42,12900.0,13183.0,3.2891830810560205,42.0,pictures\transformed\roomDark_figureBright\9.JPG,brightness,2.147225332952793,gamma,0.7113343509590104,sharpness,0.6551862680355043,0.0,43_9_brightness2.147_gamma0.711_sharpness0.655.jpg,43.0,9,0.0,0.711,0.655,2.147,0.0,2023-11-06,11:46:58.022664,t,109.54136657714844,1.7393994331359863,112,1.2692363363464918
43,900.0,1093.0,2.3073227836361143,2.0,pictures\transformed\roomDark_figureBright\7.JPG,contrast,0.9112595408589622,gamma,0.6116213034610634,equalization,16.52588467184569,2.0,3_7_contrast0.911_gamma0.612_equalization16.526.jpg,3.0,7,0.911,0.612,0.0,0.0,16.526,2023-11-06,11:47:50.270604,f,9.562179565429688,1.7716705799102783,112,1.41109290196176
44,3300.0,3505.0,1.9365856730983368,10.0,pictures\transformed\roomDark_figureBright\E.JPG,contrast,1.068850027379005,gamma,0.6981955560405952,sharpness,0.8754922935580255,1.0,11_E_contrast1.069_gamma0.698_sharpness0.875.jpg,11.0,E,1.069,0.698,0.875,0.0,0.0,2023-11-06,11:48:09.609005,f,28.900580406188965,1.135096311569214,112,-1.3871416974312947
45,3900.0,4720.0,2.9313004503044646,12.0,pictures\transformed\roomDark_figureBright\7.JPG,brightness,8.964215906905102,gamma,0.7164512738331844,sharpness,0.7040936176370743,2.0,13_7_brightness8.964_gamma0.716_sharpness0.704.jpg,13.0,7,0.0,0.716,0.704,8.964,0.0,2023-11-06,11:48:14.937535,f,34.22911071777344,1.442985773086548,112,-0.03373018387526748
46,4500.0,5693.0,2.854261982099962,14.0,pictures\transformed\roomDark_figureBright\I.JPG,contrast,0.875170563076852,sharpness,0.7375421759461214,equalization,19.39350935286753,1.0,15_I_contrast0.875_sharpness0.738_equalization19.394.jpg,15.0,I,0.875,0.0,0.738,0.0,19.394,2023-11-06,11:48:19.870229,f,39.14616870880127,1.345416784286499,112,-0.46262109867707557
47,5400.0,6257.0,2.039365854452541,17.0,pictures\transformed\roomDark_figureBright\8.JPG,contrast,1.038307649752095,gamma,0.5649465304128201,equalization,16.29218571785018,2.0,18_8_contrast1.038_gamma0.565_equalization16.292.jpg,18.0,8,1.038,0.565,0.0,0.0,16.292,2023-11-06,11:48:27.728638,f,47.02021384239197,1.7252304553985596,112,1.2069527573287255
48,8100.0,8303.0,3.6252110414848735,26.0,pictures\transformed\roomDark_figureBright\P.JPG,brightness,25.20431652623779,gamma,1.098863113562729,sharpness,0.1715333290124151,1.0,27_P_brightness25.204_gamma1.099_sharpness0.172.jpg,27.0,P,0.0,1.099,0.172,25.204,0.0,2023-11-06,11:48:49.610539,f,68.90211486816406,1.1429688930511477,112,-1.35253563340251
49,8400.0,8615.0,4.632810550967213,27.0,pictures\transformed\roomDark_figureBright\B.JPG,contrast,1.117380815207611,gamma,0.6613621324075604,equalization,24.25469224860397,1.0,28_B_contrast1.117_gamma0.661_equalization24.255.jpg,28.0,B,1.117,0.661,0.0,0.0,24.255,2023-11-06,11:48:52.390235,f,71.66786098480225,1.3186748027801514,112,-0.5801727208976875
50,9300.0,9500.0,2.105939446981392,30.0,pictures\transformed\roomDark_figureBright\S.JPG,brightness,5.250857483475768,gamma,0.5549821799402911,sharpness,0.3092880565190628,1.0,31_S_brightness5.251_gamma0.555_sharpness0.309.jpg,31.0,S,0.0,0.555,0.309,5.251,0.0,2023-11-06,11:48:59.666303,f,78.95787811279297,1.180377960205078,112,-1.1880939472596754
51,11100.0,11314.0,1.9440667879084568,36.0,pictures\transformed\roomDark_figureBright\S.JPG,brightness,28.12264255019014,contrast,0.9691131125251616,gamma,0.5077120037303029,1.0,37_S_brightness28.123_contrast0.969_gamma0.508.jpg,37.0,S,0.969,0.508,0.0,28.123,0.0,2023-11-06,11:49:14.788592,f,94.08016800880432,1.3460099697113037,112,-0.46001359149041243
52,12000.0,12175.0,2.8070450097638058,39.0,pictures\transformed\roomDark_figureBright\3.JPG,contrast,0.960362315959122,gamma,0.7333056781111511,equalization,17.70726420264262,2.0,40_3_contrast0.96_gamma0.733_equalization17.707.jpg,40.0,3,0.96,0.733,0.0,0.0,17.707,2023-11-06,11:49:22.070129,f,101.36024689674376,1.087278127670288,112,-1.59733947531952
53,5100.0,5320.0,1.966479889264092,16.0,pictures\transformed\roomDark_figureBright\P.JPG,brightness,23.76774281245444,contrast,1.172460872079417,sharpness,0.2174465772078187,1.0,17_P_brightness23.768_contrast1.172_sharpness0.217.jpg,17.0,P,1.172,0.0,0.217,23.768,0.0,2023-11-06,11:50:57.211680,f,44.12924909591675,1.331573247909546,112,-0.5234741120558567
54,7800.0,8029.0,1.6877567639588753,25.0,pictures\transformed\roomDark_figureBright\7.JPG,brightness,16.78004874574441,contrast,1.121685479638741,gamma,0.6336653094094747,1.0,19_B_brightness18.105_contrast1.139_gamma1.072.jpg,19.0,B,1.139,1.072,0.0,18.105,0.0,2023-11-06,11:51:02.091429,f,49.00899791717529,1.1932103633880615,112,-1.1316856436793814
55,8100.0,8596.0,3.436185502556788,26.0,pictures\transformed\roomDark_figureBright\8.JPG,contrast,0.9421210859379772,gamma,0.8905630764758854,sharpness,0.6497170045221883,0.0,27_8_contrast0.942_gamma0.891_sharpness0.65.jpg,27.0,8,0.942,0.891,0.65,0.0,0.0,2023-11-06,11:51:22.140773,t,69.05774712562561,1.2681279182434082,112,-0.8023652414512493
56,12000.0,12222.0,1.490951347593975,39.0,pictures\transformed\roomDark_figureBright\8.JPG,brightness,26.03151660966947,gamma,0.9221654808438394,sharpness,0.9269187023405407,0.0,40_8_brightness26.032_gamma0.922_sharpness0.927.jpg,40.0,8,0.0,0.922,0.927,26.032,0.0,2023-11-06,11:51:54.694801,t,101.6123697757721,1.328073024749756,112,-0.5388602909173514
