,フレーム数,両眼.注視Z座標[mm]
108,3469,3.5207796414438013
109,3470,3.5207796414438013
110,3471,3.5207796414438013
111,3472,3.5831377537309423
112,3473,3.5831377537309423
113,3474,3.4968703010805324
114,3475,3.4968703010805324
115,3476,3.5832147886440757
116,3477,3.5832147886440757
117,3478,3.6418330073892795
118,3479,3.6418330073892795
119,3480,3.539434610715284
120,3481,3.539434610715284
121,3482,3.914997572701505
122,3483,3.914997572701505
123,3484,3.914997572701505
124,3485,3.914997572701505
125,3486,4.125072188763304
126,3487,4.125072188763304
127,3488,3.7298263019891165
128,3767,2.010066412594272
129,3768,2.010066412594272
130,3769,2.010066412594272
131,3770,2.010066412594272
132,3771,1.9786542776526828
133,3772,1.9786542776526828
134,3773,2.085110020830249
135,3774,2.085110020830249
136,3775,2.085110020830249
137,3776,2.1574740294063712
138,3777,2.1574740294063712
139,3779,2.4223280510432965
140,3780,2.4223280510432965
141,3781,2.4223280510432965
142,3782,2.4223280510432965
143,3783,2.4223280510432965
144,3784,2.4223280510432965
145,3785,2.4223280510432965
146,3786,2.4223280510432965
147,3787,2.4223280510432965
148,3788,2.478775484910454
149,3789,2.478775484910454
150,3790,2.478775484910454
151,3791,2.478775484910454
152,3792,2.478775484910454
153,3793,2.284810806241189
154,3794,1.722646950398104
155,4286,3.620984328379827
156,4288,3.2438569459086857
157,4333,2.2786881136791926
158,4334,2.2786881136791926
159,4335,2.647183396865735
160,4336,2.647183396865735
161,4338,2.9775019949263366
162,4339,2.9775019949263366
163,4340,3.0631436430579977
164,4341,3.0631436430579977
165,4342,3.310085499508452
166,4343,3.310085499508452
167,4344,3.310085499508452
168,4345,3.3426481795938017
169,4346,3.3426481795938017
170,4347,3.4685489325540657
171,4348,3.4685489325540657
172,4349,3.4685489325540657
173,4350,3.4624240430725552
174,4351,3.4624240430725552
175,4352,3.323020891832347
176,4353,3.323020891832347
177,4354,3.3351120597652084
178,4355,3.3351120597652084
179,4356,3.3498817491742545
180,4357,3.3498817491742545
181,4358,3.3912329844885005
182,4359,3.3912329844885005
183,4360,3.2745336245485235
184,4361,2.9490869626763554
185,4363,4.017516371379213
186,4364,4.017516371379213
187,4365,4.017516371379213
188,4366,4.017516371379213
189,4367,4.017516371379213
190,4368,4.016790182964793
191,4369,4.061589950001828
192,4370,4.061589950001828
193,4371,4.034991445818135
194,4372,4.353959490760898
195,4373,4.353959490760898
196,4374,4.353959490760898
197,4375,2.975145633378754
198,4377,3.376815460411904
199,4660,2.992014313796477
200,5313,1.518688217864937
201,6461,1.8262672011542007
202,6462,1.7713944594324096
203,6468,2.5049284467189192
204,6531,2.993295019157088
205,6553,2.827486562370112
206,6581,1.681146945692229
207,6607,2.306916828727574
208,6833,1.5977171816908
209,7127,3.718619499696933
210,7128,3.9645725794302114
211,7129,3.9645725794302114
212,7130,3.9645725794302114
213,7131,3.9645725794302114
214,7132,3.9645725794302114
215,7133,3.9645725794302114
216,7134,3.9645725794302114
217,7135,4.036603924386335
218,7136,4.036603924386335
219,7137,4.034600735911174
220,7138,4.034600735911174
221,7139,4.054212935371791
222,7140,4.054212935371791
223,7141,4.099150246153973
224,7142,4.099150246153973
225,7143,4.099150246153973
226,7144,4.099150246153973
227,7150,4.196637653911686
228,7151,4.196637653911686
229,7152,4.196637653911686
230,7153,4.087171187078
231,7154,4.087171187078
232,7155,4.42683547665951
233,7156,4.42683547665951
234,7157,4.42683547665951
235,7158,4.42683547665951
236,7160,4.7892720306513406
237,7181,1.7371153809407174
238,7323,1.6339628992384099
239,7324,2.6753419086959314
240,7325,2.6753419086959314
241,7326,2.6753419086959314
242,7327,2.6753419086959314
243,7328,3.2742334201005185
244,7329,3.2742334201005185
245,7330,3.2742334201005185
246,7331,3.2742334201005185
247,7332,3.2742334201005185
248,7333,3.2742334201005185
249,7334,3.2742334201005185
250,7335,3.2742334201005185
251,7336,3.2742334201005185
252,7337,3.30506401909005
253,7338,3.30506401909005
254,7339,3.3477846035386083
255,7340,3.3477846035386083
256,7341,3.2593036823613
257,7342,3.2593036823613
258,7343,3.1959398779790154
259,7355,3.6679614570610095
260,7356,3.6679614570610095
261,7357,3.6679614570610095
262,9759,1.812526734769338
263,9760,2.1592302775906447
264,9761,2.1592302775906447
265,9762,2.1592302775906447
266,9763,2.1592302775906447
267,9764,2.1592302775906447
268,9765,2.141524808494144
269,9766,2.141524808494144
270,9767,2.095798970962705
271,9768,2.0912845715480732
272,9769,2.228745015968958
273,9770,2.228745015968958
274,9771,2.228745015968958
275,9775,2.6588885314160975
276,9776,2.5868603017831227
277,9777,2.6404243690045868
278,9778,2.6404243690045868
279,9779,2.7269132705234314
280,9780,2.7269132705234314
281,9781,2.7079062739480464
282,9782,2.6915871751254277
283,9783,2.6915871751254277
284,9784,2.6915871751254277
285,9785,2.6513102775391597
286,9786,2.6513102775391597
287,9787,2.751311687847181
288,9788,2.751311687847181
289,9789,2.7715187645677957
290,9790,2.7715187645677957
291,9791,2.7569399069808473
292,9793,2.9210555526345003
293,9794,2.4257772796848434
294,9795,2.1561017680034498
295,10940,2.140827943798985
296,10941,2.140827943798985
297,10942,2.140827943798985
298,10943,2.140827943798985
299,10944,2.140827943798985
300,10945,2.3128339153965354
301,10946,2.3128339153965354
302,10947,2.3128339153965354
303,10948,2.4019580762237376
304,10949,2.4019580762237376
305,10950,2.4019580762237376
306,10951,2.4019580762237376
307,10959,5.217137252446838
308,10960,5.107539238670201
309,10961,5.107539238670201
310,10962,4.897567378283207
311,10963,4.897567378283207
312,10992,4.909011472359811
313,10993,4.909011472359811
314,10994,4.862039625622948
315,10995,4.407888357003694
316,10996,4.6078490100036404
317,10997,4.6078490100036404
318,11239,2.392001148160551
319,11240,2.392001148160551
