trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S01_0_22,S01,0,22,9,unmatch,4,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\4_night_rain_busy.jpg,,,,,,,M_0_8_9_unmatch_4_night_rain_busy_ORIG.jpg,Mismatch,2026-01-05T18:25:06.086,52.55744767189026,3153,6307,,,9,4,None,0,Omission,無反応(不正解),3153,6.333,5.11,5.721500000000001,2672.263,0.374214663751285,6.3638,5.0798000000000005,5.7218,,0.0,,
S01_0_23,S01,0,23,S,filler,7,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\7_night_rain_empty.jpg,brightness,35.62,,,,,M_0_42_S_filler_7_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-05T18:25:08.538,55.009610414505005,3301,6601,2026-01-05 18:25:09.526856,0.9881269931793212,S,7,b,0,False Alarm,お手つき(スルー失敗),3301,5.729,4.661,5.195,2337.047,0.427890410419645,5.7252,4.6533999999999995,5.189299999999999,,0.0,,
S01_0_24,S01,0,24,3,unmatch,5,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\5_night_rain_busy.jpg,brightness,45.47,,,,,M_0_46_3_unmatch_5_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Mismatch,2026-01-05T18:25:11.065,57.53604173660278,3452,6904,,,3,5,None,0,Omission,無反応(不正解),3452,5.725,4.747,5.236,2125.068,0.4705731769524551,5.7416,4.6528,5.1972000000000005,1667.9765714285713,0.0,1.9596968307214477,3490.0
S01_0_25,S01,0,25,C,filler,9,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\9_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_0_5_C_filler_9_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-05T18:25:13.598,60.06975722312927,3604,7208,2026-01-05 18:25:14.687610,1.0887343883514404,C,9,b,0,False Alarm,お手つき(スルー失敗),3604,5.272,4.327,4.7995,1881.76,0.5314173964798912,5.2848,4.2871999999999995,4.786,1907.4232,0.0,,
S01_0_26,S01,0,26,8,unmatch,3,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\3_night_rain_empty.jpg,brightness,35.62,,,,,M_0_13_8_unmatch_3_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Mismatch,2026-01-05T18:25:16.057,62.52879071235657,3752,7503,,,8,3,None,0,Omission,無反応(不正解),3752,5.818,4.672,5.244999999999999,2015.861,0.4960659489915227,5.8245000000000005,4.6512,5.23785,1895.7644666666667,0.0,2.299281213113841,3777.0
S01_0_27,S01,0,27,A,filler,5,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\5_night_sun_empty.jpg,,,,,,,M_0_21_A_filler_5_night_sun_empty_ORIG.jpg,Ignore,2026-01-05T18:25:18.548,65.01973724365234,3901,7802,2026-01-05 18:25:19.601921,1.053065061569214,A,5,b,0,False Alarm,お手つき(スルー失敗),3901,5.825,4.672,5.2485,2632.34,0.3798901357727345,5.807600000000001,4.6732,5.2404,,0.0,,
S01_0_28,S01,0,28,E,filler,6,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\6_night_rain_busy.jpg,,,,,,,M_0_35_E_filler_6_night_rain_busy_ORIG.jpg,Ignore,2026-01-05T18:25:21.043,67.51422262191772,4051,8102,,,E,6,None,1,Correct Rejection,正解(スルー成功),4051,5.501,4.447,4.974,2098.965,0.47642528579561827,5.5042,4.5128,5.0085,1990.7888500000001,0.0,,
S01_0_29,S01,0,29,P,filler,2,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\2_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_0_30_P_filler_2_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Ignore,2026-01-05T18:25:23.573,70.04414391517639,4203,8405,,,P,2,None,1,Correct Rejection,正解(スルー成功),4203,5.528,4.416,4.9719999999999995,2279.497,0.4386932731212193,5.5358,4.3976,4.9666999999999994,1392.8017,0.0,,
S01_0_30,S01,0,30,2,unmatch,6,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\6_night_sun_busy.jpg,brightness,43.12,,,,,M_0_37_2_unmatch_6_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Mismatch,2026-01-05T18:25:26.065,72.53662276268005,4352,8704,,,2,6,None,0,Omission,無反応(不正解),4352,5.785,4.579,5.182,2383.218,0.41960072473437177,5.7985999999999995,4.6108,5.2047,,0.0,,
S01_0_31,S01,0,31,J,filler,5,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\5_night_sun_empty.jpg,,,,,,,M_0_48_J_filler_5_night_sun_empty_ORIG.jpg,Ignore,2026-01-05T18:25:28.561,75.03248929977417,4502,9004,2026-01-05 18:25:29.661657,1.1000492572784424,J,5,b,0,False Alarm,お手つき(スルー失敗),4502,5.958,4.774,5.366,2450.591,0.4080648300756838,5.8956,4.7518,5.3237000000000005,1935.1907416666666,0.0,1.7864878910916004,4542.0
S01_0_32,S01,0,32,A,filler,8,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\8_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_0_47_A_filler_8_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-05T18:25:31.037,77.50858998298645,4651,9301,,,A,8,None,1,Correct Rejection,正解(スルー成功),4651,5.494,4.454,4.974,1688.316,0.5923061796488335,5.4956,4.4622,4.978899999999999,1707.9976000000001,0.0,,
S01_0_33,S01,0,33,7,unmatch,6,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\6_night_sun_empty.jpg,,,,,,,M_0_33_7_unmatch_6_night_sun_empty_ORIG.jpg,Mismatch,2026-01-05T18:25:33.552,80.02319431304932,4801,9603,,,7,6,None,0,Omission,無反応(不正解),4801,5.853,4.638,5.2455,2456.551,0.4070747971444517,5.833,4.670999999999999,5.252,1938.47415,0.0,,
S01_0_34,S01,0,34,S,filler,7,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\7_night_rain_busy.jpg,brightness,45.47,,,,,M_0_38_S_filler_7_night_rain_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-05T18:25:36.063,82.53421592712402,4952,9904,2026-01-05 18:25:37.120039,1.0567045211791992,S,7,b,0,False Alarm,お手つき(スルー失敗),4952,5.6,4.546,5.073,2061.864,0.48499804060791596,5.5508,4.5754,5.0631,1953.765466666667,0.0,2.2059570422606543,4974.0
S01_0_35,S01,0,35,P,filler,1,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\1_night_rain_empty.jpg,brightness,35.62,,,,,M_0_28_P_filler_1_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-05T18:25:38.556,85.02716279029846,5102,10203,,,P,1,None,1,Correct Rejection,正解(スルー成功),5102,5.09,4.253,4.6715,1747.311,0.5723079634936197,5.122400000000001,4.276,4.6992,1793.1230000000003,0.0,,
S01_0_36,S01,0,36,6,match,6,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\6_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_0_29_6_match_6_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Match,2026-01-05T18:25:41.049,87.52034449577332,5251,10502,,,6,6,None,0,Omission,無反応(不正解),5251,5.548,4.511,5.0295000000000005,2178.294,0.4590748539912427,5.5815,4.502800000000001,5.04215,1931.8590666666666,0.0,3.1816447713692835,5300.0
S01_0_37,S01,0,37,B,filler,3,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\3_night_sun_busy.jpg,,,,,,,M_0_20_B_filler_3_night_sun_busy_ORIG.jpg,Ignore,2026-01-05T18:25:43.549,90.02069234848022,5401,10802,2026-01-05 18:25:44.879011,1.329200267791748,B,3,t,0,False Alarm,お手つき(スルー失敗),5401,5.144,4.272,4.708,1724.343,0.5799310230041239,5.1465,4.271199999999999,4.70885,1685.1132000000002,0.0,,
S01_0_38,S01,0,38,G,filler,8,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_busy\8_night_rain_busy.jpg,gamma,0.705,contrast,0.856,equalization,8.372,M_0_12_G_filler_8_night_rain_busy_MODEL_gamma0.705_contrast0.856_equalization8.372.jpg,Ignore,2026-01-05T18:25:46.058,92.52949285507202,5552,11104,,,G,8,None,1,Correct Rejection,正解(スルー成功),5552,5.692,4.509,5.1005,2484.38,0.4025149131775332,5.7278,4.514200000000001,5.121,,0.0,,
S01_0_39,S01,0,39,E,filler,0,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\0_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_0_6_E_filler_0_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Ignore,2026-01-05T18:25:48.551,95.0222339630127,5701,11403,,,E,0,None,1,Correct Rejection,正解(スルー成功),5701,5.929,4.765,5.3469999999999995,2610.624,0.38305018263832713,5.904,4.838,5.371,,0.0,1.7798731365129747,5726.0
S01_0_40,S01,0,40,3,unmatch,2,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\2_night_rain_empty.jpg,brightness,35.62,,,,,M_0_17_3_unmatch_2_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Mismatch,2026-01-05T18:25:51.050,97.52120923995972,5851,11703,,,3,2,None,0,Omission,無反応(不正解),5851,5.544,4.417,4.980499999999999,2060.26,0.4853756322017609,5.570600000000001,4.466399999999999,5.0184999999999995,1922.6086000000003,0.0,1.6253358161406521,5884.0
S01_0_41,S01,0,41,U,filler,8,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\8_night_sun_empty.jpg,,,,,,,M_0_15_U_filler_8_night_sun_empty_ORIG.jpg,Ignore,2026-01-05T18:25:53.554,100.02568435668944,6002,12003,2026-01-05 18:25:54.600374,1.0455708503723145,U,8,b,0,False Alarm,お手つき(スルー失敗),6002,5.362,4.483,4.922499999999999,2207.445,0.45301241933547604,5.3717,4.3954,4.88355,1943.3728571428576,0.0,,
S01_0_42,S01,0,42,8,match,8,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\8_night_rain_empty.jpg,gamma,0.748,contrast,0.89,equalization,9.124,M_0_3_8_match_8_night_rain_empty_MODEL_gamma0.748_contrast0.890_equalization9.124.jpg,Match,2026-01-05T18:25:56.052,102.52291870117188,6151,12303,,,8,8,None,0,Omission,無反応(不正解),6151,5.514,4.419,4.9665,1944.642,0.5142334681653487,5.517633333333333,4.3922,4.954916666666667,1918.0176461538463,0.0,2.606675047432618,6171.0
S01_0_43,S01,0,43,R,filler,7,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\7_night_sun_busy.jpg,,,,,,,M_0_45_R_filler_7_night_sun_busy_ORIG.jpg,Ignore,2026-01-05T18:25:58.546,105.01719999313354,6301,12602,2026-01-05 18:25:59.669658,1.1233398914337158,R,7,t,0,False Alarm,お手つき(スルー失敗),6301,6.213,4.981,5.5969999999999995,2109.643,0.4740138497366616,6.226999999999999,5.0148,5.6209,1842.3816888888891,0.0,2.032469826764941,6352.0
S01_0_44,S01,0,44,7,match,7,original,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\7_night_sun_empty.jpg,,,,,,,M_0_39_7_match_7_night_sun_empty_ORIG.jpg,Match,2026-01-05T18:26:01.063,107.53393745422365,6452,12904,,,7,7,None,0,Omission,無反応(不正解),6452,5.403,4.315,4.859,1601.968,0.6242321944008868,5.4193999999999996,4.3664000000000005,4.8929,1618.5886000000003,0.0,1.9257152616210438,6480.0
S01_0_45,S01,0,45,E,filler,5,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\rain_emtpy\5_night_rain_empty.jpg,brightness,35.62,,,,,M_0_22_E_filler_5_night_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-05T18:26:03.554,110.02544617652892,6602,13203,2026-01-05 18:26:04.590693,1.0361287593841553,E,5,t,0,False Alarm,お手つき(スルー失敗),6602,5.823,4.583,5.203,2179.056,0.45891431886101136,5.859,4.5899,5.22445,1923.5553,0.0,2.0773164639658797,6628.0
S01_0_46,S01,0,46,T,filler,5,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_empty\5_night_sun_empty.jpg,brightness,46.88,,,,,M_0_16_T_filler_5_night_sun_empty_BRIGHTONLY_brightness46.880.jpg,Ignore,2026-01-05T18:26:06.058,112.52942824363708,6752,13504,,,T,5,None,1,Correct Rejection,正解(スルー成功),6752,5.387,4.398,4.8925,1901.778,0.5258237291629202,5.4003,4.4264,4.913349999999999,1909.0874000000003,0.0,1.6103431192674513,6778.0
S01_0_47,S01,0,47,6,match,6,model,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\6_night_sun_busy.jpg,gamma,0.706,contrast,0.919,equalization,11.637,M_0_11_6_match_6_night_sun_busy_MODEL_gamma0.706_contrast0.919_equalization11.637.jpg,Match,2026-01-05T18:26:08.532,115.00316643714903,6900,13800,,,6,6,None,0,Omission,無反応(不正解),6900,5.72,4.546,5.133,2481.993,0.40290202268902453,5.7442,4.561100000000001,5.15265,,0.0,2.1564737130126743,6935.0
S01_0_48,S01,0,48,T,filler,3,brightonly,F:\pictures_verify\transformed_verify\roomDark_figureBright\sun_busy\3_night_sun_busy.jpg,brightness,43.12,,,,,M_0_2_T_filler_3_night_sun_busy_BRIGHTONLY_brightness43.120.jpg,Ignore,2026-01-05T18:26:11.058,117.52943682670592,7052,14104,2026-01-05 18:26:12.081359,1.022803783416748,T,3,t,0,False Alarm,お手つき(スルー失敗),7052,5.472,4.422,4.947,1911.978,0.523018570297357,5.5088,4.4152000000000005,4.962,1927.7502000000004,0.0,,
