0,1
45_9_gamma0.5_sharpness0.024_equalization32.0.jpg,"[2.649058033977555, 0.15155849104552604, 2]"
43_8_contrast0.88_brightness12.0_sharpness0.78.jpg,"[2.652971904086637, nan, 1]"
40_3_gamma0.94_equalization11.0.jpg,"[2.654616297585553, nan, 1]"
9_8_gamma0.59_sharpness0.18_equalization15.0.jpg,"[2.657712136656439, 0.4841357994995281, 4]"
26_C_contrast0.87_brightness3.2.jpg,"[2.6581175624438247, 0.7190632127483233, 2]"
14_8_contrast0.98_equalization16.0.jpg,"[2.663854347914838, nan, 1]"
46_1_brightness18.0_gamma0.75_contrast0.81.jpg,"[2.664531611418162, nan, 1]"
42_B_sharpness0.23_gamma1.1_brightness28.0.jpg,"[2.665949574082701, 0.7898714201009762, 2]"
36_T_gamma0.86_sharpness0.65.jpg,"[2.670475974557156, nan, 1]"
30_T_sharpness0.41_gamma1.1.jpg,"[2.670526200426913, 0.05638883853812556, 4]"
39_9_contrast1.0_gamma0.6_equalization21.0.jpg,"[2.670561693591172, 0.6022087594174036, 4]"
36_E_gamma1.0_equalization21.0.jpg,"[2.674113408111384, nan, 1]"
26_7_gamma0.83_contrast0.83_equalization8.2.jpg,"[2.6776746598622982, 0.15271217762050054, 4]"
24_S_sharpness0.4_brightness30.0_contrast1.0.jpg,"[2.682321031643913, nan, 1]"
7_9_contrast0.85_brightness1.7_sharpness0.15.jpg,"[2.685955377799945, nan, 1]"
21_T_brightness21.0_gamma0.92.jpg,"[2.686148750009452, 0.5188822665604558, 4]"
4_0_brightness19.0_sharpness0.24.jpg,"[2.687013375185514, nan, 1]"
25_Q_sharpness0.86_contrast0.82_equalization25.0.jpg,"[2.687068309331036, nan, 1]"
47_1_gamma0.75_contrast0.91_equalization10.0.jpg,"[2.687158674658805, nan, 1]"
43_0_gamma1.1_sharpness0.48_equalization16.0.jpg,"[2.687481701493463, nan, 1]"
14_7_contrast0.91_sharpness0.87_equalization15.0.jpg,"[2.688353698704804, nan, 1]"
43_7_gamma1.0_sharpness0.7_equalization5.0.jpg,"[2.689485487187465, nan, 1]"
30_E_gamma0.96_sharpness0.83_equalization20.0.jpg,"[2.691989337695078, 0.24682981266633813, 2]"
46_7_contrast0.9_gamma0.6_brightness30.0.jpg,"[2.6938069260691653, 0.418056056307344, 3]"
30_P_sharpness0.63_equalization6.7.jpg,"[2.6950198888333823, 0.29047875822471364, 2]"
