trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,emr_frame_rel,emr_left_pupil_mm_raw,emr_right_pupil_mm_raw,emr_both_pupil_mm_raw,emr_both_Z_mm_raw,emr_diopter_raw,emr_left_pupil_mm,emr_right_pupil_mm,emr_both_pupil_mm,emr_both_Z_mm,emr_diopter_clipped0,emr_diopter_peak,emr_diopter_peak_frame_rel
S03_3_24,S03,3,24,Q,filler,2,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\2_day_rain_empty.jpg,,,,,,,M_3_18_Q_filler_2_day_rain_empty_ORIG.jpg,Ignore,2026-01-08T16:53:16.705,1767858796.7059865,88.5377779006958,5312,10625,,,Q,2,,1,Correct Rejection,正解(スルー成功),10625,3.573,3.153,3.363,763.419,1.309896662252315,3.5311999999999997,3.21,3.3705999999999996,779.9478,0.0,,
S03_3_25,S03,3,25,B,filler,1,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\1_day_rain_busy.jpg,,,,,,,M_3_14_B_filler_1_day_rain_busy_ORIG.jpg,Ignore,2026-01-08T16:53:20.579,1767858800.579842,92.41163349151611,5545,11089,,,B,1,,1,Correct Rejection,正解(スルー成功),11089,3.347,2.938,3.1425,764.272,1.3084346934075826,3.3128,2.9604,3.1366,735.0538,0.0,,
S03_3_26,S03,3,26,4,match,4,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\4_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_3_1_4_match_4_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Match,2026-01-08T16:53:24.424,1767858804.4244351,96.2562267780304,5775,11551,2026-01-08T16:53:26.090,1.6665058135986328,4,4,t,1,Hit,正解(一致),11551,3.429,3.152,3.2904999999999998,644.203,1.5523057172971875,3.4192,3.1458,3.2824999999999998,640.0564,1.5576120175215293,1.5605663229042712,11554.0
S03_3_27,S03,3,27,F,filler,0,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\0_day_rain_empty.jpg,brightness,35.62,,,,,M_3_21_F_filler_0_day_rain_empty_BRIGHTONLY_brightness35.620.jpg,Ignore,2026-01-08T16:53:28.255,1767858808.2553213,100.08711290359496,6005,12010,,,F,0,,1,Correct Rejection,正解(スルー成功),12010,3.186,2.857,3.0215,720.678,1.3875822489378058,3.2034,2.859,3.0312,723.03,0.0,,
S03_3_28,S03,3,28,U,filler,9,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\9_day_sun_busy.jpg,brightness,45.47,,,,,M_3_23_U_filler_9_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-08T16:53:32.099,1767858812.0995371,103.93132877349854,6236,12472,,,U,9,,1,Correct Rejection,正解(スルー成功),12472,3.17,2.891,3.0305,620.868,1.610648318161026,3.1666,2.809,2.9878,643.5211999999999,1.5483476934962321,1.5483476934962321,12473.0
S03_3_29,S03,3,29,A,filler,2,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\2_day_sun_busy.jpg,,,,,,,M_3_5_A_filler_2_day_sun_busy_ORIG.jpg,Ignore,2026-01-08T16:53:35.950,1767858815.9507835,107.78257536888124,6467,12934,,,A,2,,1,Correct Rejection,正解(スルー成功),12934,3.058,2.763,2.9105,699.52,1.429551692589204,3.0601999999999996,2.7822,2.9212,701.1305,0.0,1.5636523992035514,13010.0
S03_3_30,S03,3,30,0,match,0,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\0_day_rain_busy.jpg,brightness,36.09,,,,,M_3_17_0_match_0_day_rain_busy_BRIGHTONLY_brightness36.090.jpg,Match,2026-01-08T16:53:39.808,1767858819.8082745,111.640065908432,6698,13397,2026-01-08T16:53:41.768,1.9603793621063232,0,0,t,1,Hit,正解(一致),13397,2.972,2.69,2.831,694.213,1.4404800832021296,2.9737999999999998,2.645,2.8094,682.0467999999998,0.0,1.5137752626244954,13424.0
S03_3_31,S03,3,31,J,filler,8,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\8_day_sun_empty.jpg,brightness,18.052,contrast,1.163,gamma,1.019,M_3_25_J_filler_8_day_sun_empty_MODEL_brightness18.052_contrast1.163_gamma1.019.jpg,Ignore,2026-01-08T16:53:43.674,1767858823.6745896,115.50638127326964,6930,13861,,,J,8,,1,Correct Rejection,正解(スルー成功),13861,3.146,2.968,3.057,708.436,1.4115601126989594,3.1764,2.956,3.0662000000000003,708.7992,0.0,,
S03_3_32,S03,3,32,9,match,9,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\9_day_sun_busy.jpg,brightness,45.47,,,,,M_3_3_9_match_9_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Match,2026-01-08T16:53:47.513,1767858827.5134864,119.34527802467346,7161,14321,2026-01-08T16:53:49.435,1.922001600265503,9,9,t,1,Hit,正解(一致),14321,3.363,3.214,3.2885,728.366,1.37293613375693,3.3922000000000003,3.1774,3.2848,735.1763,0.0,,
S03_3_33,S03,3,33,E,filler,8,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\8_day_sun_empty.jpg,brightness,40.55,,,,,M_3_37_E_filler_8_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Ignore,2026-01-08T16:53:51.399,1767858831.399195,123.2309865951538,7394,14788,,,E,8,,1,Correct Rejection,正解(スルー成功),14788,3.243,3.084,3.1635,751.6,1.3304949441192122,3.2523000000000004,3.0898000000000003,3.17105,746.2317999999999,0.0,1.5144629452745537,14933.0
S03_3_34,S03,3,34,C,filler,7,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\7_day_sun_empty.jpg,,,,,,,M_3_45_C_filler_7_day_sun_empty_ORIG.jpg,Ignore,2026-01-08T16:53:55.244,1767858835.2448094,127.07660102844238,7625,15249,,,C,7,,1,Correct Rejection,正解(スルー成功),15249,3.423,3.217,3.3200000000000003,748.364,1.3362481359338503,3.3188000000000004,3.2206,3.2697000000000003,748.1343333333334,0.0,1.6080247150121352,15296.0
