trial_id,folder_name,file_name,trial,front,status,back,process,filename,param1,param1_value,param2,param2_value,param3,param3_value,image_name,final_status,Display_Timestamp,Display_Epoch,Elapsed_From_First_Display_s,Frame_60fps,Frame_120fps,Key_Timestamp,Reaction_Time,Front_Char,Back_Char,User_Key,Accuracy,Result_Type,Judgment,FrontIsDigit_inferred,Skip_Task,Skip_Reason,task_start_frame_emr,task_end_frame_emr,diopter_baseline,diopter_onset_frame,diopter_peak_frame,diopter_peak_value,diopter_delta,diopter_descent_frame,baseline_frame_start,baseline_frame_end,miosis_frame_start,miosis_frame_end,pupil_left_baseline,pupil_right_baseline,pupil_both_baseline,pupil_left_miosis_mean,pupil_right_miosis_mean,pupil_both_miosis_mean,pupil_left_miosis_min,pupil_right_miosis_min,pupil_both_miosis_min,pupil_left_miosis_min_frame,pupil_right_miosis_min_frame,pupil_both_miosis_min_frame,pupil_left_change_rate_mean,pupil_right_change_rate_mean,pupil_both_change_rate_mean,pupil_left_change_rate_min,pupil_right_change_rate_min,pupil_both_change_rate_min,BL_stim120_frame_start,BL_stim120_frame_end,BL_stim120_pupil_both,BL_stim120_change_rate_mean,BL_stim120_change_rate_min,BL_onset120_frame_start,BL_onset120_frame_end,BL_onset120_pupil_both,BL_onset120_change_rate_mean,BL_onset120_change_rate_min,BL_stim_to_onset_frame_start,BL_stim_to_onset_frame_end,BL_stim_to_onset_pupil_both,BL_stim_to_onset_change_rate_mean,BL_stim_to_onset_change_rate_min
S04_6_21,S04,6,21,8,unmatch,9,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\9_day_rain_empty.jpg,brightness,35.62,,,,,M_6_39_8_unmatch_9_day_rain_empty_BRIGHTONLY_brightness35.620.jpg,Mismatch,2026-01-09T11:53:01.031,1767927181.0319805,77.06594610214233,4624,9248,2026-01-09T11:53:02.880,1.8480701446533203,8,9,b,1,Correct Rejection,正解(不一致),True,False,,9248.0,9697.0,0.0,9329.0,9468.0,7.914782871559128,7.914782871559128,9479.0,9128.0,9247.0,9329.0,9479.0,4.488095833333333,3.9311224999999994,4.209609166666666,4.003031346578366,3.551635099337747,3.777333222958057,3.8561,3.261399999999999,3.5588999999999995,9466.0,9467.0,9467.0,0.10807801454513669,0.0965341071569895,0.1026879044096395,0.14081602906949217,0.17036418987197685,0.1545770975175644,9248.0,9367.0,3.8189749999999996,0.010903914543023354,0.06810073383564964,9209.0,9328.0,3.8159941666666666,0.010131290043973151,0.06737278817468503,9248.0,9328.0,3.779941358024691,0.0006899935262479235,0.05847745694663431
S04_6_22,S04,6,22,R,filler,1,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\1_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_6_13_R_filler_1_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-09T11:53:04.872,1767927184.8721693,80.90613508224487,4854,9709,,,R,1,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_6_23,S04,6,23,4,unmatch,7,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\7_day_rain_busy.jpg,brightness,23.168,contrast,1.169,gamma,1.078,M_6_19_4_unmatch_7_day_rain_busy_MODEL_brightness23.168_contrast1.169_gamma1.078.jpg,Mismatch,2026-01-09T11:53:08.749,1767927188.7490916,84.78305745124817,5087,10174,2026-01-09T11:53:11.018,2.269486904144287,4,7,b,1,Correct Rejection,正解(不一致),True,False,,10174.0,10623.0,0.0,10290.0,10355.0,2.7277752087012845,2.7277752087012845,10440.0,10054.0,10173.0,10290.0,10440.0,4.740369444444444,4.106004166666666,4.423186805555556,4.367598675496689,3.7840298013245026,4.0758142384105955,4.1094,3.4091999999999993,3.7731999999999997,10402.0,10435.0,10437.0,0.07863749298794216,0.07841549893105643,0.0785344554538501,0.1331055420551492,0.169703716407172,0.14694988797198616,10174.0,10293.0,4.495794166666667,0.09341618247782435,0.1607267014189004,10170.0,10289.0,4.496519166666667,0.09356235627211754,0.1608620223458036,10174.0,10289.0,4.4982560344827585,0.09391235021612955,0.16118603052485672
S04_6_24,S04,6,24,T,filler,7,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\7_day_rain_busy.jpg,,,,,,,M_6_41_T_filler_7_day_rain_busy_ORIG.jpg,Ignore,2026-01-09T11:53:12.628,1767927192.6285613,88.66252708435059,5320,10640,,,T,7,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_6_25,S04,6,25,G,filler,4,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_busy\4_day_sun_busy.jpg,brightness,45.47,,,,,M_6_12_G_filler_4_day_sun_busy_BRIGHTONLY_brightness45.470.jpg,Ignore,2026-01-09T11:53:16.484,1767927196.484965,92.5189311504364,5551,11102,,,G,4,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_6_26,S04,6,26,5,unmatch,3,brightonly,G:\pictures_verify\transformed_verify\roomBright_figureDark\sun_empty\3_day_sun_empty.jpg,brightness,40.55,,,,,M_6_1_5_unmatch_3_day_sun_empty_BRIGHTONLY_brightness40.550.jpg,Mismatch,2026-01-09T11:53:20.329,1767927200.3292463,96.36321234703064,5782,11564,2026-01-09T11:53:22.817,2.4881751537323,5,3,b,1,Correct Rejection,正解(不一致),True,True,no_diopter_onset,11564.0,12013.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_6_27,S04,6,27,G,filler,7,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\7_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_6_28_G_filler_7_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-09T11:53:24.192,1767927204.1920755,100.22604155540466,6014,12027,,,G,7,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_6_28,S04,6,28,4,unmatch,0,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_busy\0_day_rain_busy.jpg,,,,,,,M_6_26_4_unmatch_0_day_rain_busy_ORIG.jpg,Mismatch,2026-01-09T11:53:28.040,1767927208.0403607,104.07432651519775,6244,12489,2026-01-09T11:53:30.624,2.5841424465179443,4,0,b,1,Correct Rejection,正解(不一致),True,True,no_diopter_onset,12489.0,12938.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_6_29,S04,6,29,D,filler,9,original,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\9_day_rain_empty.jpg,,,,,,,M_6_18_D_filler_9_day_rain_empty_ORIG.jpg,Ignore,2026-01-09T11:53:31.878,1767927211.878454,107.91241979599,6475,12949,,,D,9,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S04_6_30,S04,6,30,A,filler,4,model,G:\pictures_verify\transformed_verify\roomBright_figureDark\rain_empty\4_day_rain_empty.jpg,brightness,22.602,contrast,1.158,gamma,1.045,M_6_44_A_filler_4_day_rain_empty_MODEL_brightness22.602_contrast1.158_gamma1.045.jpg,Ignore,2026-01-09T11:53:35.723,1767927215.7233596,111.7573254108429,6705,13411,,,A,4,,1,Correct Rejection,正解(スルー成功),False,True,front_not_digit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
