0,1
44_7_gamma0.82_sharpness0.4_equalization10.0.jpg,"[2.49223161897827, nan, 1]"
46_8_contrast1.0_gamma0.64_equalization30.0.jpg,"[2.493630365321469, nan, 1]"
3_9_brightness17.0_contrast1.1.jpg,"[2.502661245420669, 0.6231229290578397, 4]"
14_7_contrast0.91_sharpness0.87_equalization15.0.jpg,"[2.503595613413851, nan, 1]"
5_9_sharpness0.22_gamma0.83_contrast0.94.jpg,"[2.50409550601906, nan, 1]"
41_T_gamma0.55_sharpness0.43_equalization21.0.jpg,"[2.504774369034501, nan, 1]"
31_S_gamma1.0_contrast1.2_equalization27.0.jpg,"[2.509085021087632, nan, 1]"
31_B_brightness1.9_contrast1.1.jpg,"[2.5126523338769267, 0.5065142717903236, 4]"
6_3_contrast1.1_sharpness0.6_equalization22.0.jpg,"[2.516105642599945, nan, 1]"
41_9_brightness6.6_gamma0.92.jpg,"[2.5197173172314598, 0.48751563007817006, 4]"
30_8_sharpness0.84_brightness14.0_contrast1.0.jpg,"[2.522524938770741, nan, 1]"
12_C_gamma0.9_sharpness0.87.jpg,"[2.522562953109217, nan, 1]"
21_T_brightness21.0_gamma0.92.jpg,"[2.5230554503098004, 0.459328879997315, 4]"
13_C_sharpness0.99_equalization5.9.jpg,"[2.524539938603419, nan, 1]"
44_P_brightness2.6_gamma0.51_sharpness0.57.jpg,"[2.530448846925583, nan, 1]"
28_2_gamma0.82_contrast1.0_sharpness0.41.jpg,"[2.53563581703216, nan, 1]"
29_B_gamma0.53_equalization20.0.jpg,"[2.539240023592125, 0.42583753562016535, 4]"
36_T_gamma0.86_sharpness0.65.jpg,"[2.546909942125709, nan, 1]"
39_7_brightness13.0_sharpness0.54_gamma0.61.jpg,"[2.549661858623395, nan, 1]"
30_P_sharpness0.63_equalization6.7.jpg,"[2.5496768855119716, 0.4628482872535927, 2]"
16_I_gamma0.83_contrast0.91_equalization28.0.jpg,"[2.5498591686229943, 0.39887294524762723, 4]"
7_9_contrast0.85_brightness1.7_sharpness0.15.jpg,"[2.554483608893826, nan, 1]"
18_2_sharpness0.15_brightness1.9_gamma0.74.jpg,"[2.557944770475761, nan, 1]"
9_8_gamma0.59_sharpness0.18_equalization15.0.jpg,"[2.559013936504584, 0.4331530241989457, 4]"
8_C_contrast0.87_gamma0.91_equalization25.0.jpg,"[2.559741967296598, nan, 1]"
34_I_contrast1.2_gamma0.91_equalization19.0.jpg,"[2.560679803165716, nan, 1]"
39_9_contrast1.0_gamma0.6_equalization21.0.jpg,"[2.5610635250833322, 0.5494834559409354, 4]"
20_7_brightness5.6_contrast1.1_gamma1.1.jpg,"[2.561755441863184, nan, 1]"
9_C_gamma0.91_contrast1.0_equalization23.0.jpg,"[2.563890254873358, nan, 1]"
46_I_brightness2.1_contrast0.92_gamma1.0.jpg,"[2.565865512630733, nan, 1]"
28_2_gamma0.64_contrast0.87_equalization4.4.jpg,"[2.5703785850976364, 0.08244789923167453, 3]"
24_S_sharpness0.4_brightness30.0_contrast1.0.jpg,"[2.578515786793444, nan, 1]"
