,Unnamed: 0.1,frame,フレーム数,diopter,Unnamed: 0,filename,param1,param1_value,param2,param2_value,param3,param3_value,status,image_name,times,figure,contrast,gamma,sharpness,brightness,equalization,day,time,button,timeFromStart,timeFromDisplay,num,timeFromDisplay_std
31,6,5400.0,5582.0,2.726454227731408,17.0,pictures\transformed\roomBright_figureDark\S.JPG,gamma,0.6784207169780678,sharpness,0.1499144839327446,None,None,2.0,18_S_gamma0.68_sharpness0.15.jpg,18.0,S,0.0,0.68,0.15,0.0,0.0,2023-08-26,17:42:20.911296,f,46.39410996437073,1.2974834442138672,10,-0.07111833476519196
32,7,5700.0,7129.0,3.523052233319934,18.0,pictures\transformed\roomBright_figureDark\B.JPG,gamma,0.7217969655441855,brightness,22.93109801221578,contrast,1.132396497316177,1.0,19_B_gamma0.72_brightness23.0_contrast1.1.jpg,19.0,B,1.1,0.72,0.0,23.0,0.0,2023-08-26,17:42:23.787831,f,49.270644187927246,1.665112018585205,10,2.0724377960881797
33,8,6900.0,7395.0,2.7639270434646166,22.0,pictures\transformed\roomBright_figureDark\B.JPG,sharpness,0.9637789059821202,contrast,0.9253903702535772,equalization,20.66886931853306,2.0,23_B_sharpness0.96_contrast0.93_equalization21.0.jpg,23.0,B,0.93,0.0,0.96,0.0,21.0,2023-08-26,17:42:33.293710,f,58.77652335166931,1.1610679626464844,10,-0.8665250638452712
34,9,7200.0,8573.0,3.766353128200722,23.0,pictures\transformed\roomBright_figureDark\0.JPG,gamma,0.715709986008696,sharpness,0.7716642042686175,None,None,0.0,24_0_gamma0.72_sharpness0.77.jpg,24.0,0,0.0,0.72,0.77,0.0,0.0,2023-08-26,17:42:35.769771,t,61.23712849617005,1.1310889720916748,10,-1.0413255376943125
35,10,8400.0,8612.0,3.485501222425966,27.0,pictures\transformed\roomBright_figureDark\P.JPG,brightness,10.03236378159412,contrast,1.175643579697557,sharpness,0.3520498980618536,1.0,28_P_brightness10.0_contrast1.2_sharpness0.35.jpg,28.0,P,1.2,0.0,0.35,10.0,0.0,2023-08-26,17:42:46.189467,f,71.65660262107849,1.5162370204925537,10,1.2043825437509523
36,11,9600.0,9728.0,4.598876967376078,31.0,pictures\transformed\roomBright_figureDark\S.JPG,gamma,0.7939541901905689,brightness,24.1557558500194,contrast,0.9375286597641053,1.0,32_S_gamma0.79_brightness24.0_contrast0.94.jpg,32.0,S,0.94,0.79,0.0,24.0,0.0,2023-08-26,17:42:55.888213,f,81.36648201942444,1.2501375675201416,10,-0.3471810549468683
37,12,11700.0,11850.0,2.874651568842401,38.0,pictures\transformed\roomBright_figureDark\0.JPG,gamma,0.8964663034034721,sharpness,0.9177280311204964,equalization,14.65319633311862,2.0,39_0_gamma0.9_sharpness0.92_equalization15.0.jpg,39.0,0,0.0,0.9,0.92,0.0,15.0,2023-08-26,17:43:13.491422,f,98.9742352962494,1.3628687858581543,10,0.31012828130438097
38,0,600.0,828.0,2.897937084743559,1.0,pictures\transformed\roomBright_figureDark\Q.JPG,contrast,1.009862423603804,gamma,0.607173022365193,sharpness,0.3426835284933569,2.0,2_Q_contrast1.0_gamma0.61_sharpness0.34.jpg,2.0,Q,1.0,0.61,0.34,0.0,0.0,2023-08-26,17:44:51.967882,f,6.381898641586304,1.2674403190612793,10,-0.2462927624357027
39,1,1200.0,1350.0,2.6007117590501694,3.0,pictures\transformed\roomBright_figureDark\I.JPG,contrast,1.14358746022607,sharpness,0.9041590044361028,None,None,1.0,4_I_contrast1.1_sharpness0.9.jpg,4.0,I,1.1,0.0,0.9,0.0,0.0,2023-08-26,17:44:57.024361,f,11.43837833404541,1.3258466720581057,10,0.09426100507604922
40,2,3000.0,3159.0,2.909077615906105,9.0,pictures\transformed\roomBright_figureDark\B.JPG,contrast,0.9166936344474148,equalization,4.071153017490914,None,None,1.0,10_B_contrast0.92_equalization4.1.jpg,10.0,B,0.92,0.0,0.0,0.0,4.1,2023-08-26,17:45:11.836032,f,26.25004816055298,1.1424639225006104,10,-0.9750008654924232
41,3,3600.0,3716.0,2.079924297026794,11.0,pictures\transformed\roomBright_figureDark\7.JPG,brightness,20.14990102502588,contrast,1.071304947463759,sharpness,0.9978317735145532,0.0,12_7_brightness20.0_contrast1.1_sharpness1.0.jpg,12.0,7,1.1,0.0,1.0,20.0,0.0,2023-08-26,17:45:17.064119,t,31.478135585784912,1.3688364028930664,10,0.3449240588188075
42,4,4800.0,4951.0,3.343993677952453,15.0,pictures\transformed\roomBright_figureDark\7.JPG,gamma,0.8315591820146353,contrast,1.018704709222528,brightness,5.697219104472761,0.0,16_7_gamma0.83_contrast1.0_brightness5.7.jpg,16.0,7,1.0,0.83,0.0,5.7,0.0,2023-08-26,17:45:27.012207,t,41.42622375488281,1.3147423267364502,10,0.029514167771436887
43,5,7200.0,7340.0,2.288555358063833,23.0,pictures\transformed\roomBright_figureDark\T.JPG,contrast,1.116781378949137,equalization,9.777277707010452,None,None,1.0,24_T_contrast1.1_equalization9.8.jpg,24.0,T,1.1,0.0,0.0,0.0,9.8,2023-08-26,17:45:46.831658,f,61.24567413330078,1.1337945461273191,10,-1.0255499690473415
